Astoria,58300,,Borough Park,43640
Bay Ridge,65070,,Bronx Park and Fordham,24310
Bayside/Little Neck,80080,,Bushwick and Williamsburg,43660
Bedford Stuyvesant,39970,,Canarsie and Flatlands,69840
Bensonhurst,50570,,Central Bronx,24310
Borough Park,43640,,Central Brooklyn,87590
Brooklyn Heights/Fort Greene,87590,,Central Harlem,46540
Brownsville/Ocean Hill,27350,,Central Queens,81920
Bushwick,43660,,Chelsea and Clinton,103380
Central Harlem,46540,,East Harlem,30380
Chelsea/Clinton/Midtown,103380,,East New York and New Lots,35480
Coney Island,40720,,Flatbush,50190
East Flatbush,50870,,Gramercy Park and Murray Hill,
East Harlem,30380,,Greenpoint,67830
East New York/Starrett City,35480,,Greenwich Village and Soho,123470
Elmhurst/Corona,44210,,High Bridge and Morrisania,26410
Flatbush,50190,,Hunts Point and Mott Haven,24670
Flatlands/Canarsie,69840,,Inwood and Washington Heights,45800
Flushing/Whitestone,51250,,Jamaica,58940
Greenwich Village/Financial District,123470,,Kingsbridge and Riverdale,32280
Highbridge/South Concourse,26410,,Lower East Side,42720
Hillcrest/Fresh Meadows,63040,,Lower Manhattan,
Jackson Heights,54720,,North Queens,81920
Jamaica,58940,,Northwest Brooklyn,87590
Kingsbridge Heights/Moshulu,32280,,Northwest Queens,81920
Lower East Side/Chinatown,42720,,Southeast Bronx,24310
Mid-Island,74670,,Southeast Queens,81920
Middle Village/Ridgewood,62970,,Southern Brooklyn,87590
Morningside Heights/Hamilton Heights,49210,,Southwest Brooklyn,87590
Morrisania/Belmont,24310,,Southwest Queens,81920
Mott Haven/Hunts Point,24670,,Sunset Park,45710
North Crown Heights/Prospect Heights,46210,,Upper East Side,103560
North Shore,56490,,Upper West Side,102130
Ozone Park/Woodhaven,61120,,West Central Queens,81920
Park Slope/Carroll Gardens,112670,,West Queens,81920
Pelham Parkway,46040,,,
Queens Village,81920,,,
Rego Park/Forest Hills,71700,,,
Riverdale/Kingsbridge,62380,,,
Rockaways,52900,,,
Sheepshead Bay/Gravesend,55000,,,
Soundview/Parkchester,37180,,,
South Crown Heights,45690,,,
South Ozone Park/Howard Beach,68040,,,
South Shore,82080,,,
Stuyvesant Town/Turtle Bay,108000,,,
Sub-Borough Area,2015,,,
Sunnyside/Woodside,60860,,,
Sunset Park,45710,,,
Throgs Neck/Co-op City,51410,,,
University Heights/Fordham,24440,,,
Upper East Side,103560,,,
Upper West Side,102130,,,
Washington Heights/Inwood,45800,,,
Williamsbridge/Baychester,47980,,,
Williamsburg/Greenpoint,67830,,,
